Cant.,Código,NumeraciónDesde,NumeraciónHasta,Descripción del Bien,Est.,Observaciones,Valor  Unitario,archivo_origen,fecha_inventario
6,3.8,,,Bancos de Ajustador,R,,,RP-01 Inventario de Bienes 007.docx,30/10/2023
1,3.8,,,Cizallas manuales de 1x 250 mm,R,,,RP-01 Inventario de Bienes 007.docx,30/10/2023
4,3.8,,,PRENSA G 3” Marca Blitz,B,Armario 1,,RP-01 Inventario de Bienes 007.docx,30/10/2023
1,3.8,,,PRENSA G 8” Marca Blitz,B,Armario 1,,RP-01 Inventario de Bienes 007.docx,30/10/2023
1,3.8,,,PRENSA G 7” Marca Blitz,M,Armario 1,,RP-01 Inventario de Bienes 007.docx,30/10/2023
2,3.8,,,LLAVE CURVA,MB,Armario 8,,RP-01 Inventario de Bienes 007.docx,30/10/2023
1,3.8,,,PINZA AMPEROMÉTRICA Pronext,MB,Armario 6,,RP-01 Inventario de Bienes 007.docx,30/10/2023
1,3.8,,,JUEGO LIMAS MATRICERAS,MB,Armario 6,,RP-01 Inventario de Bienes 007.docx,30/10/2023
3,4.1,,,Máscaras soldador fotosencible,R,Armario 5,,RP-01 Inventario de Bienes 007.docx,30/10/2023
2,3.9,,,Contactores con Auxiliares,B,Armario 6,,RP-01 Inventario de Bienes 007.docx,30/10/2023
3,3.8,,,Pinza de Punta Plana Marca Crossmastar,B,Armario 3,,RP-01 Inventario de Bienes 008.docx,30/10/2023
2,3.8,,,Pinza de Punta Plana (Rojas),R,Armario 3,,RP-01 Inventario de Bienes 008.docx,30/10/2023
1,3.8,,,Pinza sacabocado Blitz,B,Armario 2,,RP-01 Inventario de Bienes 008.docx,30/10/2023
7,3.8,,,Tijeras Articulada  corte universal,R,Armario 1,,RP-01 Inventario de Bienes 008.docx,30/10/2023
2,3.8,,,Alicate corte diagonal,B,Armario 6,,RP-01 Inventario de Bienes 008.docx,30/10/2023
1,3.8,,,Pinza Universal 200 mm,MB,Armario 6,,RP-01 Inventario de Bienes 008.docx,30/10/2023
2,3.8,,,PINZA AMPEROMÉTRICA TS-P1266,MB,Armario 8,,RP-01 Inventario de Bienes 008.docx,30/10/2023
8,3.8,,,Calibre Mecánico Acero inox 150 mm,R,Armario 2,,RP-01 Inventario de Bienes 008.docx,30/10/2023
1,3.8,,,Calibre digital 150 mm,B,Armario 2,,RP-01 Inventario de Bienes 008.docx,30/10/2023
4,3.8,,,Tester Digital,MB,Armario 6,,RP-01 Inventario de Bienes 008.docx,30/10/2023
1,3.8,,,Pinza Amperométrica Marca Sonel,MB,Armario 6,,RP-01 Inventario de Bienes 009.docx,30/10/2023
4,3.8,,,Soldador Estaño 60 w p/cerámica,MB,Armario 2,,RP-01 Inventario de Bienes 009.docx,30/10/2023
1,3.8,,,Juego de piezas de llave Allem (30 piezas),MB,Armario 8,,RP-01 Inventario de Bienes 009.docx,30/10/2023
3,,,,Pares de guantes de soldador Caña larga- Rojos,MB,Armario 8,,RP-01 Inventario de Bienes 009.docx,30/10/2023
4,,,,Pares de guantes de soldador Caña larga- Naranja,MB,Armario 8,,RP-01 Inventario de Bienes 009.docx,30/10/2023
6,,,,Fajas Lumbares,MB,Armario 8,,RP-01 Inventario de Bienes 009.docx,30/10/2023
15,,,,Chaquetas de Soldador,R,Rotación de Herrería y Soldadura,,RP-01 Inventario de Bienes 009.docx,30/10/2023
13,,,,Delantales de Soldador,R,Rotación de Herrería y Soldadura,,RP-01 Inventario de Bienes 009.docx,30/10/2023
6,,,,Delantales de Soldador,M,Rotación de Herrería y Soldadura,,RP-01 Inventario de Bienes 009.docx,30/10/2023
14,,,,Pares de Polainas,M,Rotación de Herrería y Soldadura,,RP-01 Inventario de Bienes 009.docx,30/10/2023
3,3.8,,,Alicate,R,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
2,3.8,,,Llaves combinadas doble boca  12-14; 8-10,R,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,3.8,,,Llaves combinadas doble boca Marca SGA 17-19,R,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
4,3.8,,,Llave Boca/boca Marca BAHCO  32; 24-27; 24-25;24-21,R,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
2,,,,Destornillador  Paleta  5 x 90,R,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,,,,Destornillador  Paleta  4 x 100,M,Armario 3,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,3.8,,,Destornillador Paleta Brenen 6 x 100,R,Armario 6,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,3.8,,,Destornillador Paleta  6 x 100,R,Armario 6,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,3.8,,,Destornillador Philips Brenen 4 x 200,R,Armario 6,,RP-01 Inventario de Bienes 010.docx,30/10/2023
1,,,,Lima triangular 6” (fino),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
5,,,,Lima triangular 8” (medio),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
1,,,,Lima cuadrada 6”x 5 mm (medio),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
5,,,,Lima cuadrada 8”x 8 mm (medio),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
1,,,,Lima cuadrada 8”x 10 mm (medio),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
1,,,,Lima cuadrada 8”x 5 mm (medio),B,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
1,,,,Lima Plana 150 mm x 15 mm (fino),M,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
25,,,,Lima Plana 200 mm x 20 mm (medio),R,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
5,,,,Lima Plana 250 mm x 25 mm (grueso),M,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
2,,,,Escofinas Media Caña 10”x1”,M,Armario 1,,RP-01 Inventario de Bienes 011.docx,30/10/2023
2,3.8,,,Alicates,R,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Pinza segger,R,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Pico de Loro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Llave francesa 8”,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Llave saca bujía 5/8”,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Llave saca bujías 21mm,M,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Llave saca filtros de cinta. Mango rojo,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
1,3.8,,,Llave saca filtros dentada gris,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
3,3.8,,,Destornilladores philips,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 012.docx,30/10/2023
3,3.8,,,Destornilladores punta plana,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
2,3.8,,,Destornilladores torx,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada 3/4” tramontina-Pro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  11/16” Tramontina-Pro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  9/16” Vanadium,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  9 mm Gedore,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
2,3.8,,,Llave combinada  13 mm Stanley,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
2,3.8,,,Llave combinada  17 mm Stanley /Tramontina,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  18 mm Stanley,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  16 mm Stanley,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Martillo de uña,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 013.docx,30/10/2023
1,3.8,,,Llave combinada  5/8” Irimo,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
1,3.8,,,Llave combinada  7/16” Stanley,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
1,3.8,,,Llave combinada 3/8” Tramontina- Pro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
2,3.8,,,Llave combinada 5/16” Tramontina-Pro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
1,3.8,,,Llave combinada 22 mm Tramontina- Pro,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
8,3.8,,,Laves Torx  T10 ; T15; T27;  T20; T25; T30; T40; T45; T50,B,(1 de cada una) A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
3,3.8,,,Pinzas universales,B,A cargo de MEP Motores,,RP-01 Inventario de Bienes 014.docx,30/10/2023
1,3.8,,,Juago de 9 llaves Allem,,Armario 6,,RP-01 Inventario de Bienes 014.docx,30/10/2023
1,,,,Destornillador  Phillips Tramontina  3 x 150,M,Armario 3,,RP-01 Inventario de Bienes 014.docx,30/10/2023
3,,,,Reglas de 45 cm,R,Armario 1,,RP-01 Inventario de Bienes 015.docx,30/10/2023
1,,,,Regla de 50 cm,R,Armario 1,,RP-01 Inventario de Bienes 015.docx,30/10/2023
5,,,,Limas ½ caña,B,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
1,,,,Pistola para silicona,B,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
4,,,,Cintas métricas,R,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
1,,,,Soldador sin punta,M,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
2,,,,Machos de 3/16 N° 2,B,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
2,,,,Machos de 3/16,R,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
2,,,,Jeringas eyección de Estaño,B,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
1,,,,Abrochadora,R,Armario 2,,RP-01 Inventario de Bienes 015.docx,30/10/2023
1,,,,Escofina Media caña 8” x ¾ “,M,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
1,,,,Escofina Redonda 7”,M,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
3,,,,Escuadras de Carpintero,R,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
20,,,,Puntos de trazar,R,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
2,,,,Martillo de chapista,B,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
1,,,,Martillo de bola mango de madera,B,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
2,,,,Martillo de bola mango de metal,R,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
1,,,,Compás punta seca,R,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
17,,,,Reglas de 30 cm,R,Armario 1,,RP-01 Inventario de Bienes 016.docx,30/10/2023
2,,,,Soldadores Comunes,M,Armario 2,,RP-01 Inventario de Bienes 017.docx,30/10/2023
5,,,,Guantes de Nitrilo livianos,MB,Armario 5,,RP-01 Inventario de Bienes 017.docx,30/10/2023
1,,,,Guantes de Nitrilo Rojo,MB,Armario 5,,RP-01 Inventario de Bienes 017.docx,30/10/2023
1,,,,Guantes de soldador,MB,Armario 5,,RP-01 Inventario de Bienes 017.docx,30/10/2023
3,,,,Protector visual Mediacal Corp con vidrio,MB,Armario 5,,RP-01 Inventario de Bienes 017.docx,30/10/2023
2,,,,Juego de letras para marcar,R,Armario 4,,RP-01 Inventario de Bienes 017.docx,30/10/2023
1,,,,Mordaza articulada roja N° 2,M,Armario 4,,RP-01 Inventario de Bienes 017.docx,30/10/2023
4,,,,Sensores de Niveles para Tanques,MB,Armario 4,,RP-01 Inventario de Bienes 017.docx,30/10/2023
6,,,,Sordinas Copas,MB,Armario 4,,RP-01 Inventario de Bienes 017.docx,30/10/2023
1,,,,Desoldador,MB,Armario 6,,RP-01 Inventario de Bienes 017.docx,30/10/2023
14,,,,Sierras,B,Armario 4,,RP-01 Inventario de Bienes 018.docx,30/10/2023
7,,,,Alargues,B,Armario 4,,RP-01 Inventario de Bienes 018.docx,30/10/2023
3,,,,Mascaras fotosensibles,B,Armario 4,,RP-01 Inventario de Bienes 018.docx,30/10/2023
6,,,,Mascaras faciales,B,Armario 5,,RP-01 Inventario de Bienes 018.docx,30/10/2023
6,,,,Mascaras de soldar,B,Armario 5,,RP-01 Inventario de Bienes 018.docx,30/10/2023
10,,,,Guantes moteados,R,Armario 5,,RP-01 Inventario de Bienes 018.docx,30/10/2023
10,,,,Guantes de baqueta,R,Armario 5,,RP-01 Inventario de Bienes 018.docx,30/10/2023
5,,,,Antiparras,R,Armario 5,,RP-01 Inventario de Bienes 018.docx,30/10/2023
2,,,,Tester sin cable,R,Armario 6,,RP-01 Inventario de Bienes 018.docx,30/10/2023
1,,,,Destornillador  Paleta Bahco,R,Armario 6,,RP-01 Inventario de Bienes 019.docx,30/10/2023
2,,,,Destornillador  Paleta Celestal 4x 70,M,Armario 6,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Phillips Celestal 4x 70,R,Armario 6,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Phillips 6 x 100,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
2,,,,Destornillador  Phillips Tramontina  5 x 120S,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Paleta Celestal 3x 80,R,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Paleta  Celestal 5x 100,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Paleta  Tramontina  6 x 140,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Paleta Tramontina  5 x 140,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador Palerta  Gedore  6 x 150,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Interlec Phillips  3x 60,M,Armario 3,,RP-01 Inventario de Bienes 019.docx,30/10/2023
1,,,,Destornillador  Phillips Celestal 5 x 120,R,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
2,,,,Destornillador  Paleta Celestal 4x 100,R,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
2,3.8,,,Tenazas,B,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
2,3.8,,,Tenazas,M,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Espátula,B,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Torquímetro,B,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Engrapadora,R,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Pinza Pico de loro,R,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Brazo de Fuerza 1”,B,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,3.8,,,Llave Criquet  Marca Chrom Vanadium,B,Armario 3,,RP-01 Inventario de Bienes 020.docx,30/10/2023
1,,,,Destornillador  Paleta  8 x 100,M,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
3,3.8,,,Alicate corte diagonal,B,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
2,3.8,,,Pinzas de Punta,B,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
2,3.8,,,Pinzas de Punta,R,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
2,3.8,,,Alicates Black Jack,B,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
5,3.8,,,Pinzas Naranja,R,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
2,3.8,,,Llaves Allen 10 mm,R,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
1,3.8,,,Llaves Allen 8 mm,R,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
1,3.8,,,Llaves Torx 8mm,R,Armario 3,,RP-01 Inventario de Bienes 021.docx,30/10/2023
5,3.8,,,Pinza Universal 160 mm,Nuevo,,,RP-01 Inventario de Bienes 021.docx,30/10/2023
2,3.8,,,Destornillador  Paleta Celestal 3x 80,M,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
1,3.8,,,Destornillador  Paleta  6 x 140,M,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
2,3.8,,,Destornillador  Paleta  6 x 40,M,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
5,3.8,,,Llaves tubos Hexagonales de: 5/8”; 1”; 9mm; 12 mm; 16 mm,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
1,3.8,,,Mezclador de Pintura,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
8,3.8,,,Llaves Tubos Estrellas 11 mm; 12 mm; 14 mm; 16 mm; 18 mm; 20 mm; 22 mm; 24 mm,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
8,3.8,,,Llaves Tubos Estriados 22 mm; 24 mm; 26 mm; 34 mm;; 7/8”; 21/32”; 9/16”; ¾”,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
2,3.8,,,Llaves Tubos Estriado 15/16”,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
2,3.8,,,Llaves Tubos Estriado 25 mm;,B,Armario 3,,RP-01 Inventario de Bienes 022.docx,30/10/2023
1,,,,Pinza Portaelectrodos Marca INC-CO 500        Negro y Naranja,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
37,,,,Llaves combinadas,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Antiparra con filtro solar Marca UCU,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
2,,,,Cepillos de hacer mango de madrea Marca Calabro,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Escuadra Magnética 3”  p/11 Kg Marca Bremen,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Escuadra Magnética 4”  p/22 Kg Marca Bremen,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
3,,,,Desoldadores con eyección de estaño de punto Diam. 20 mm,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Llave Mandril para taladro de mano,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Mandril Cónico Marca Dogo,MB,Armario 8,,RP-01 Inventario de Bienes 023.docx,30/10/2023
1,,,,Pinza Portamasa Marca Blitz 300 A,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
1,,,,Tester Electrónico Digital Marca Pronext Mod. TS-830D,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
1,,,,Pistola para compresor,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
2,,,,Llaves boomerang tipo Estrella 21mm /19mm y 22mm/19mm,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
2,,,,Llaves Hexagonal Abierta 11 mm y 14 mm    Marca Gedore,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
2,,,,Llaves Combinadas 12mm Marca Gedore  y 11/16” Marca Tramontina pro,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
1,,,,Llave Estrella Abierta 14 mm Marca Gedore,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
3,,,,Par Guantes Dieléctricos hasta 500 W,MB,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
4,,,,Dobladora de caño con carril,B,Armario 8,,RP-01 Inventario de Bienes 024.docx,30/10/2023
1,,,,Llave Francesa 6” – Marca Bulit,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
4,,,,Pinza Universal G-200 – Marca Bahco,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
1,,,,Pinza Universal 8” Marca Tramontina pro,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
1,,,,Llave Combinada 7/16” Marca Stanley,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
3,,,,Llaves combinadas 5/8”; 14 y 17 mm              Marca Geodore,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
2,,,,Llaves combinadas 5/8” Marca Tramontina Pro,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
