Código,Nombre,Cantidad,Fecha Inventario
LIM090,Lima cuadrada 8”x 5 mm (medio),1,2023-10-30
LIM091,Lima Plana 150 mm x 15 mm (fino),1,2023-10-30
LIM092,Lima Plana 200 mm x 20 mm (medio),25,2023-10-30
LIM093,Lima Plana 250 mm x 25 mm (grueso),5,2023-10-30
ESC094,Escofinas Media Caña 10”x1”,2,2023-10-30
ALI095,Alicates,2,2023-10-30
PIN096,Pinza segger,1,2023-10-30
PIC097,Pico de Loro,1,2023-10-30
LLA098,Llave francesa 8”,1,2023-10-30
LLA099,Llave saca bujía 5/8”,1,2023-10-30
LLA100,Llave saca bujías 21mm,1,2023-10-30
LLA101,Llave saca filtros de cinta. Mango rojo,1,2023-10-30
LLA102,Llave saca filtros dentada gris,1,2023-10-30
DES103,Destornilladores philips,3,2023-10-30
DES104,Destornilladores punta plana,3,2023-10-30
DES105,Destornilladores torx,2,2023-10-30
LLA106,Llave combinada 3/4” tramontina-Pro,1,2023-10-30
LLA107,Llave combinada  11/16” Tramontina-Pro,1,2023-10-30
LLA108,Llave combinada  9/16” Vanadium,1,2023-10-30
LLA109,Llave combinada  9 mm Gedore,1,2023-10-30
LLA110,Llave combinada  13 mm Stanley,2,2023-10-30
LLA111,Llave combinada  17 mm Stanley /Tramontina,2,2023-10-30
LLA112,Llave combinada  18 mm Stanley,1,2023-10-30
LLA113,Llave combinada  16 mm Stanley,1,2023-10-30
MAR114,Martillo de uña,1,2023-10-30
LLA115,Llave combinada  5/8” Irimo,1,2023-10-30
LLA116,Llave combinada  7/16” Stanley,1,2023-10-30
LLA117,Llave combinada 3/8” Tramontina- Pro,1,2023-10-30
LLA118,Llave combinada 5/16” Tramontina-Pro,2,2023-10-30
LLA119,Llave combinada 22 mm Tramontina- Pro,1,2023-10-30
LAV120,Laves Torx  T10 ; T15; T27;  T20; T25; T30; T40; T45; T50,8,2023-10-30
PIN121,Pinzas universales,3,2023-10-30
JUA122,Juago de 9 llaves Allem,1,2023-10-30
DES123,Destornillador  Phillips Tramontina  3 x 150,1,2023-10-30
REG124,Reglas de 45 cm,3,2023-10-30
REG125,Regla de 50 cm,1,2023-10-30
LIM126,Limas ½ caña,5,2023-10-30
PIS127,Pistola para silicona,1,2023-10-30
CIN128,Cintas métricas,4,2023-10-30
SOL129,Soldador sin punta,1,2023-10-30
MAC130,Machos de 3/16 N° 2,2,2023-10-30
MAC131,Machos de 3/16,2,2023-10-30
JER132,Jeringas eyección de Estaño,2,2023-10-30
ABR133,Abrochadora,1,2023-10-30
ESC134,Escofina Media caña 8” x ¾ “,1,2023-10-30
ESC135,Escofina Redonda 7”,1,2023-10-30
ESC136,Escuadras de Carpintero,3,2023-10-30
PUN137,Puntos de trazar,20,2023-10-30
MAR138,Martillo de chapista,2,2023-10-30
MAR139,Martillo de bola mango de madera,1,2023-10-30
MAR140,Martillo de bola mango de metal,2,2023-10-30
COM141,Compás punta seca,1,2023-10-30
REG142,Reglas de 30 cm,17,2023-10-30
SOL143,Soldadores Comunes,2,2023-10-30
GUA144,Guantes de Nitrilo livianos,5,2023-10-30
GUA145,Guantes de Nitrilo Rojo,1,2023-10-30
GUA146,Guantes de soldador,1,2023-10-30
PRO147,Protector visual Mediacal Corp con vidrio,3,2023-10-30
JUE148,Juego de letras para marcar,2,2023-10-30
MOR149,Mordaza articulada roja N° 2,1,2023-10-30
SEN150,Sensores de Niveles para Tanques,4,2023-10-30
SOR151,Sordinas Copas,6,2023-10-30
DES152,Desoldador,1,2023-10-30
SIE153,Sierras,14,2023-10-30
ALA154,Alargues,7,2023-10-30
MAS155,Mascaras fotosensibles,3,2023-10-30
MAS156,Mascaras faciales,6,2023-10-30
MAS157,Mascaras de soldar,6,2023-10-30
GUA158,Guantes moteados,10,2023-10-30
GUA159,Guantes de baqueta,10,2023-10-30
ANT160,Antiparras,5,2023-10-30
TES161,Tester sin cable,2,2023-10-30
DES162,Destornillador  Paleta Bahco,1,2023-10-30
DES163,Destornillador  Paleta Celestal 4x 70,2,2023-10-30
DES164,Destornillador  Phillips Celestal 4x 70,1,2023-10-30
DES165,Destornillador  Phillips 6 x 100,1,2023-10-30
DES166,Destornillador  Phillips Tramontina  5 x 120S,2,2023-10-30
DES167,Destornillador  Paleta Celestal 3x 80,1,2023-10-30
DES168,Destornillador  Paleta  Celestal 5x 100,1,2023-10-30
DES169,Destornillador  Paleta  Tramontina  6 x 140,1,2023-10-30
DES170,Destornillador  Paleta Tramontina  5 x 140,1,2023-10-30
DES171,Destornillador Palerta  Gedore  6 x 150,1,2023-10-30
DES172,Destornillador  Interlec Phillips  3x 60,1,2023-10-30
DES173,Destornillador  Phillips Celestal 5 x 120,1,2023-10-30
DES174,Destornillador  Paleta Celestal 4x 100,2,2023-10-30
TEN175,Tenazas,2,2023-10-30
TEN176,Tenazas,2,2023-10-30
ESP177,Espátula,1,2023-10-30
TOR178,Torquímetro,1,2023-10-30
ENG179,Engrapadora,1,2023-10-30
PIN180,Pinza Pico de loro,1,2023-10-30
BRA181,Brazo de Fuerza 1”,1,2023-10-30
LLA182,Llave Criquet  Marca Chrom Vanadium,1,2023-10-30
DES183,Destornillador  Paleta  8 x 100,1,2023-10-30
ALI184,Alicate corte diagonal,3,2023-10-30
PIN185,Pinzas de Punta,2,2023-10-30
PIN186,Pinzas de Punta,2,2023-10-30
ALI187,Alicates Black Jack,2,2023-10-30
PIN188,Pinzas Naranja,5,2023-10-30
LLA189,Llaves Allen 10 mm,2,2023-10-30
LLA190,Llaves Allen 8 mm,1,2023-10-30
LLA191,Llaves Torx 8mm,1,2023-10-30
PIN192,Pinza Universal 160 mm,5,2023-10-30
DES193,Destornillador  Paleta Celestal 3x 80,2,2023-10-30
DES194,Destornillador  Paleta  6 x 140,1,2023-10-30
DES195,Destornillador  Paleta  6 x 40,2,2023-10-30
LLA196,Llaves tubos Hexagonales de: 5/8”; 1”; 9mm; 12 mm; 16 mm,5,2023-10-30
MEZ197,Mezclador de Pintura,1,2023-10-30
LLA198,Llaves Tubos Estrellas 11 mm; 12 mm; 14 mm; 16 mm; 18 mm; 20 mm; 22 mm; 24 mm,8,2023-10-30
LLA199,Llaves Tubos Estriados 22 mm; 24 mm; 26 mm; 34 mm;; 7/8”; 21/32”; 9/16”; ¾”,8,2023-10-30
LLA200,Llaves Tubos Estriado 15/16”,2,2023-10-30
LLA201,Llaves Tubos Estriado 25 mm;,2,2023-10-30
PIN202,Pinza Portaelectrodos Marca INC-CO 500        Negro y Naranja,1,2023-10-30
LLA203,Llaves combinadas,37,2023-10-30
ANT204,Antiparra con filtro solar Marca UCU,1,2023-10-30
CEP205,Cepillos de hacer mango de madrea Marca Calabro,2,2023-10-30
ESC206,Escuadra Magnética 3”  p/11 Kg Marca Bremen,1,2023-10-30
ESC207,Escuadra Magnética 4”  p/22 Kg Marca Bremen,1,2023-10-30
DES208,Desoldadores con eyección de estaño de punto Diam. 20 mm,3,2023-10-30
LLA209,Llave Mandril para taladro de mano,1,2023-10-30
MAN210,Mandril Cónico Marca Dogo,1,2023-10-30
PIN211,Pinza Portamasa Marca Blitz 300 A,1,2023-10-30
TES212,Tester Electrónico Digital Marca Pronext Mod. TS-830D,1,2023-10-30
PIS213,Pistola para compresor,1,2023-10-30
LLA214,Llaves boomerang tipo Estrella 21mm /19mm y 22mm/19mm,2,2023-10-30
LLA215,Llaves Hexagonal Abierta 11 mm y 14 mm    Marca Gedore,2,2023-10-30
LLA216,Llaves Combinadas 12mm Marca Gedore  y 11/16” Marca Tramontina pro,2,2023-10-30
LLA217,Llave Estrella Abierta 14 mm Marca Gedore,1,2023-10-30
PAR218,Par Guantes Dieléctricos hasta 500 W,3,2023-10-30
DOB219,Dobladora de caño con carril,4,2023-10-30
LLA220,Llave Francesa 6” – Marca Bulit,1,2023-10-30
PIN221,Pinza Universal G-200 – Marca Bahco,4,2023-10-30
PIN222,Pinza Universal 8” Marca Tramontina pro,1,2023-10-30
LLA223,Llave Combinada 7/16” Marca Stanley,1,2023-10-30
LLA224,Llaves combinadas 5/8”; 14 y 17 mm              Marca Geodore,3,2023-10-30
LLA225,Llaves combinadas 5/8” Marca Tramontina Pro,2,2023-10-30
LLA226,Llaves combinadas ¾ “ y 12 mm Marca Robust,2,2023-10-30
LLA227,Llave combinada  ¾” Marca  Tramontina Pro,1,2023-10-30
JUE228,Juego de sierras copa p/madera 11 piezas – Marca Bosch,1,2023-10-30
LIM229,Limas planas grano medio sin mango – Marca Bahco,10,2023-10-30
SER230,Serrucho de 500 mm Marca Bulit,1,2023-10-30
TIJ231,Tijera Hojalatero corte recto 10” Marca Barbero,1,2023-10-30
LIM232,Limas Cuadradas 8” – Marca Plena,2,2023-10-30
LIM233,Limas Media Caña 8” - Marca Plena,7,2023-10-30
LIM234,Limas Media Caña 8” - Marca Nicholson,9,2023-10-30
MAN235,Mangos para limas color Azul -,16,2023-10-30
DES236,Destornilladores paleta 5x100 y 6x125 Marca Irimo,2,2023-10-30
DES237,Destornilladores Phillisps  8x150  Marca Irimo,1,2023-10-30
TOR238,TORNO DIGITAL Mod. T1000 ENET- Type 1440B – Mach N° 002,1,2023-10-30
DOB239,Dobladora de caño de ½ a 2 pulgadas.,1,2023-10-30
EQU240,Equipo de soldadura eléctrica para c.c. 350ª con accesorios.,1,2023-10-30
MOT241,MOTOR NEF 6 cód. 00015881   5802068180- MAT 8056935,1,2023-10-30
AMO242,Amoladora skil 4 1/2” 820w,1,2023-10-30
AMO243,Amoladora black y decker 4 ½” 820w,2,2023-10-30
AMO244,Amoladora salkor 4 1/2,1,2023-10-30
TAL245,Taladro dowen paggio 1050w mandril 16mm,1,2023-10-30
TAL246,Taladro skil 550w mandril 13mm,1,2023-10-30
ROU247,Router skil modelo 1831 1100 w,1,2023-10-30
TAL248,Taladro skil 570w mandril 13mm,1,2023-10-30
TAL249,Taladro skil 600w mandril 13mm,1,2023-10-30
TAL250,Taladro bosch mandril 13mm,1,2023-10-30
CAL251,Caladora skil 4550 550w,2,2023-10-30
CAL252,Caladora stanley 600w,1,2023-10-30
CAL253,Caladora black y decker 600w,1,2023-10-30
LIJ254,Lijadora orbital skil 200 w,1,2023-10-30
TAL255,Taladro marca bosch 600w gsb 13 re,1,2023-10-30
TOR256,TORNOS PARALELOS CM Modelo CN-30/91 mm c’ reclas digitales y accesorios,2,2023-10-30
LIJ257,Lijadora orbital black y decker,2,2023-10-30
TOR258,Tornos paralelos ½ Bancada Marca Parmo,3,2023-10-30
EQU259,Equipo para pintar,1,2023-10-30
SOL260,Soldadora Marca DAGO MIG 205,1,2023-10-30
SOL261,Soldadora Marca GLADIATOR,1,2023-10-30
COM262,COMPRESOR ALPHA 50 Lts. Motor 2 HP,1,2023-10-30
SOL263,Soldadora 220 V 50/60 Hz Marca Dogo,1,2023-10-30
SOL264,Soldadora Dual MIG 120:220 50/60 Hz,1,2023-10-30
VEN265,VENTILADOR EXTRACTOR MONOFASICO BAX 300,1,2023-10-30
AGU266,Agujereadoras de banco con motor trifásico de ½ HP con mandril,3,2023-10-30
LIM267,Limadora  30 cm de trabajo,1,2023-10-30
REC268,Rectificadora,1,2023-10-30
OSC269,OSCILOSCOPIO DIGITAL 60 MHZ 1 GS/S 40 KPS GRATTEN – MODELO GA -1062 CAL,1,2023-10-30
DUR270,DUROMETRO DINAMICO PORTATIL DE IMPACTO QH5 Marca DEMEQ,1,2023-10-30
MIN271,MINITORNO Blackdecker,1,2023-10-30
FRE272,Fresadora combinada universal de torreta CM Modelo FC-1. Con reglas digitales.,1,2023-10-30
TOR273,Torno Paralelo CM Modelo CM-30/914 mm Con reglas digitales,1,2023-10-30
COR274,Cortadora sensitiva 2000 Watt,1,2023-10-30
CAL275,Caladora 550w  - Marca Skil,1,2023-10-30
AMO276,Amoladora 4 1/2” 830W - Marca Skil,1,2023-10-30
PIS277,Pistola Neumática Marca Stonger,1,2023-10-30
SOL278,Soldadora Inverter SML 130-7 Marca LUSQTOFF,1,2023-10-30
AMO279,Amoladora Marca BOSCH Profesional 1800 W,1,2023-10-30
FRE280,Fresadora Marca SKILL 1100 con maletín y accesorios.,1,2023-10-30
ATO281,Atornillador Marca BOSCH Profesional GSR 1000 Smart con10 puntas y  maletín,2,2023-10-30
SIE282,Sierra Caladora Marca SKILL 3800 W,2,2023-10-30
MOR283,Morsa Giratoria Plana de Precisión N° 6  Marca CUTMAC,1,2023-10-30
LIJ284,Lijadora Orbital 220 W Marca Bosch,1,2023-10-30
LIJ285,Lijadora de Banda 800 W Marca SALKOR,2,2023-10-30
SMA286,Smart TV Marca Tedge 32”,2,2023-10-30
AMO287,Amoladora Marca BOSCH Profesional 1800 W,3,2023-10-30
COR288,Cortadora Plasma Profesional Marca LUSQTOFF INCUT-640,1,2023-10-30
LIJ289,Lijadora de Banco y banda 440 w Marca  LUSQTOFF,1,2023-10-30
CAL290,CALIBRE PLASTICO DE MEDICION 150 mm KLD 1051,1,2025-06-24
MAS291,MASCARA DE PROTECCION FACIAL LUSQTOF FS/10-8 COLOR NARANJA,4,2025-06-24
CIN292,CINTA METRICA BREMEN 3 M AUTO FRENANTE FLEJE 19mm 7612,5,2025-06-24
ROL293,"ROLLO DE CABLE DE 1,5mm X 100M",3,2025-06-24
SEN294,SENSOR DISTANCIA PROXIMIDAD 3-80 CM INFRARROJO E18 D80NK,2,2025-06-24
SOL295,SOLDADOR ELECTRICO LAPIZ ESTAÑO 100W MANGO DE MADERA MARCA DAVIDSON,5,2025-06-24
LIM296,"LIMAS PLANAS BASTARDA 6"" 150mm METAL ACERO HARDEN PROFESIONAL",6,2025-06-24
HOJ297,HOJAS DE SIERRA CALADORA BOSCH T101D MADERA BLANDA ,3,2025-06-24
LIJ298,LIJADORA ROTO ORBITAL 320W INDUSTRIAL TOTAL + 5 LIJAS 125mm COLOR TURQUESA FRECUECIA 50 HZ,2,2025-06-24
SIE299,SIERRA CALADORA 570W,2,2025-06-24
LIM300,"LIMA MEDIA CAÑA ACERO MANGO 15CM (6"") BASTARDA TRUPER 15317",5,2025-06-24
TAL301,TALADRO ATORNILLADOR INALAMBRICO TOTAL 12V 750 RPM CON CARGADOR DE FICHA TIPO C INCLUYE BATERIA,2,2025-06-24
CIN302,CINTA AISLADORA NEGRA X 20 MTS,40,2025-06-24
CAB303,CABLE HDMI 20 M MALLADO CON 2 FILTROS ,1,2025-06-24
PIN304,PINZA VOLT-AMPEROMETRICA DIGITAL BAW MT 87,2,2025-06-24
PIL305,PILOTO OJO DE BUEY LUMINOSO D 22mm 220V ROJO,3,2025-06-24
PIL306,PILOTO OJO DE BUEY LUMINOSO D 22mm 220V VERDE,2,2025-06-24
PUN307,PUNTA DE PRUEBA DE TENSION 100V 220V 380V,2,2025-06-24
PUL308,PULSADOR PVC RASANTE DIAM 22 mm MARCA BAW,6,2025-06-24
BOT309,BOTON PULSADOR RASANTE 1 NA PLASTICO SCHNEIDER,3,2025-06-24
MIN310,MINI AMPERIMETRO DIGITAL BAW 29mm 100A OJO DE BUEY,2,2025-06-24
LLA311,LLAVE TERMOMAGNETICA CHINT BIPOLAR 2 X 16A,1,2025-06-24
MIN312,MINI VOLTIMETRO DIGITAL 80-500V OJO DE BUEY BAW,2,2025-06-24
INT313,INTERRUPTOR TERMOMAGNATICO BIPOLAR  2 X 16 A MOELLER EATON,2,2025-06-24
LLA314,LLAVE TERMICA  BIPOLAR 2 X 10A CHINT,2,2025-06-24
GUA315,GUARDAMOTOR TRIPOLAR TMG REGULABLE 6A-10A BAW FRECUENCIA 50-60 HZ,4,2025-06-24
FIC316,FICHA CONECTORES BANANA MACHO 5 ROJO Y 5 NEGRO A TORNILLO,2,2025-06-24
FIC317,FICHAS CONECTORES BANANA HEMBRA JACK 6 COLORES,30,2025-06-24
DIS318,"DISCOS BOSCH CORTE STD METAL 4 1/2"" 115mmX 1mm",150,2025-06-24
CIN319,CINTA METRICA BAHCO MTG19 AR 5MX 19mm BLOQUEO Y CLIP,1,2025-06-24
MAS320,MASCARA CARETA DE SOLDAR FOTOSENSIBLE PROFESIONAL LABOR DOGO,3,2025-06-24
MAS321,MASCARA PROTECCION FACIAL LUSQTOFF FSL 10_8 COLOR NARANJA,4,2025-06-24
CIN322,CINTA METRICA BREMEN 3 METROS AUTOFRENANTE FLEJE 19mm,3,2025-06-24
ROL323,"ROLLO DE CABLE DE 1,5mm X 100M",3,2025-06-24
SEN324,SENSOR DISTANCIA PROXIMIDAD 3-80 CM INFRARROJO E18 D80NK,2,2025-06-24
PRE325,PRENSA SARGENTO CARPINTERO TIPO F 80X 400 mm ,2,2025-06-24
PIN326,PINZA UNIVERSAL 200mm TOTAL THT110806P,2,2025-06-24
MAS327,MASCARA CARETA DE SOLDAR FOTOSENSIBLE PROFESIONAL LABOR DOGO,1,2025-06-24
MAR328,MARTILLO CARPINTERO 10 OZ INDUSTRIAL MAGNETICO 345MM TOTAL,2,2025-06-24
GUA329,GUANTES PARA SOLDAR ESAB HAEVY DUTY BLACK SOLDADOR GRAMABI F,4,2025-06-24
MUL330,MULTIMETRO DIGITAL 600V INDUSTRIAL TOTAL TMT 536002,2,2025-06-24
MEC331,MECHAS SIRRA COPA JUEGO 16 PIEZAS PARA MADERA ACERO AL CARBON,1,2025-06-24
KIT332,KIT SOLDADOR GUANTE DELANTAL DESCARNE SOLDAR MIG ELECTRODSO,3,2025-06-24
SET333,SET PINZAS DE CORTE TIPO AVIADOR TOTAL HOJALATERAS,1,2025-06-24
AMO334,AMOLADORA DE BANCO DOGO DOG 50605,1,2025-06-24
BOL335,BOLSO DE CARPINTERO PORTA HERRAMINETAS INGCO HTBP 020328,2,2025-06-24
MAR336,MARTILLO DESABOLLADOR PUNTA ESTANDAR 11 OZ 30 CM TRUPER 16864,4,2025-06-24
ING337,INGCO HCP08168 PINZA UNIVERSAL PROFESIONAL 6 160mm 10V,3,2025-06-24
CIN338,CINTA METRICA BAHCO MTG19 AR 5MX 19mm BLOQUEO Y CLIP,2,2025-06-24
LLA339,"LLAVE FRANCESA IRIMO DE BAHCO 6"" AJUSTABLE APERTURA 20mm",1,2025-06-24
REG340,REGLA METALICA 30 CM/12 PULGADAS MATEZZ,10,2025-06-24
SET341,SET JUEGO 6 DESTORNILLADORES AISLADOS TOTAL INDUSTRIAL 1000V,1,2025-06-24
AMO342,AMOLADORA ANGULAR 115 mm INDUSTRILAL TOTAL,3,2025-06-24
LLA343,LLAVE FRANCESA AJUSTABLE 8 PULGADAS 200mm IRIMO 5-200-2,1,2025-06-24
ALI344,ALICATE CORTE DIAGONAL AILADO 6 PULGADAS TOTAL THTIP2261,1,2025-06-24
AMO345,AMOLADORA ANGULAR 710w 115mm INDUSTRIAL TOTAL TG10711576-4,1,2025-06-24
JUE346,JUEGO DE MECHAS TOTAL 16 UN CON ESTUCHE MADERA METAL HORMIGON,2,2025-06-24
SIE347,SIERRA SENSITIVA TOTAL 355mm TS223558 COLOR TURQUESA 220V,1,2025-06-24
ANT348,ANTIPARRAS DE SEGURIDAD LIBUS NEW CLASSIC HC 902109,5,2025-06-24
ANT349,ANTEOJOS DE SEGURIDAD TRANSPARENTE LIBUS,1,2025-06-24
PRO350,PROTECCTOR AUDITIVO TIPO COPA VINCHA 24 DB ALTERNATIVE LIBUS COLOR NEGRO,10,2025-06-24
T10351,T101 AO HOJA DE SIERRA CALADORA BOSCH PARA MADERAP/CURVAS BLX 5 ,4,2025-06-24
